2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;
I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал
18 440,1;19 714,8;20 978,4;22 617,3;19 492,3;20 672,4;21 711,6;23 164,0;19 712,5;21 028,1;22 039,1;23 753,4;19 703,1;21 144,8;22 348,7;23 973,6;19 401,7;20 491,0;21 968,0;23 589,9;19 361,7;20 556,7;21 980,9;23 716,8;19 615,8;21 038,5;22 561,0;23 963,9;20 118,5;21 612,6;23 155,3;24 740,2;20 397,2;21 905,3;23 795,4;25 498,8;20 703,3;20 299,7;22 999,9;25 163,1;20 819,6;22 582,8;24 144,8;26 624,8;21 446,4;21 574,3;23 288,9;25 913,4
