2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022;;;
I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал
110,3;108,6;108,7;108,4;106,6;104,7;105,7;104,5;105,8;108,2;106,6;109,1;108,3;107,0;107,9;106,0;102,5;103,2;102,0;103,6;107,6;104,7;103,9;105,5;106,4;110,9;111,7;110,5;108,0;105,2;101,4;99,7;99,5;96,3;101,4;105,4;111,7;120,6;121,2;121,4;126,5;119,9;112,1;108,2
