1995;;;;1996;;;;1997;;;;1998;;;;1999;;;;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;
I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал
5 355,0;5 523,1;6 030,0;6 000,2;5 235,1;5 333,8;5 698,1;5 814,7;5 212,0;5 289,7;5 860,1;6 024,9;5 134,7;5 237,6;5 343,0;5 474,9;5 041,7;5 402,6;5 955,5;6 136,3;5 617,6;5 955,4;6 583,6;6 643,4;5 880,8;6 256,1;6 980,5;6 945,0;6 104,2;6 531,8;7 289,7;7 373,2;6 567,4;7 052,3;7 742,7;7 942,6;7 042,9;7 618,6;8 309,8;8 436,6;7 435,6;8 076,7;8 805,1;9 093,0;7 978,3;8 729,5;9 526,3;9 900,5;8 622,1;9 481,8;10 304,9;10 809,9;9 413,2;10 231,0;10 965,6;10 667,0;8 547,0;9 090,1;10 020,5;10 391,0;8 894,9;9 544,6;10 403,9;10 918,8;9 186,1;9 859,0;10 930,5;11 482,2
