Date,Value
1993-01-01,1.8840399259999998
1993-04-01,1.6808145530000003
1993-07-01,1.89680022
1993-10-01,1.5647180625000001
1994-01-01,1.40338447398
1994-04-01,1.2294585853999997
1994-07-01,1.1896786718160002
1994-10-01,1.534696666
1995-01-01,1.424371479076
1995-04-01,1.248686442886
1995-07-01,1.1509959362880002
1995-10-01,1.12999079424
1996-01-01,1.10011079732
1996-04-01,1.05008956352
1996-07-01,1.0084016601040002
1996-10-01,1.04566616352
1997-01-01,1.0540203531480001
1997-04-01,1.0303002326400001
1997-07-01,1.00486331906
1997-10-01,1.0174853495520002
1998-01-01,1.0306888500959996
1998-04-01,1.0096260551999998
1998-07-01,1.4375434864770003
1998-10-01,1.2329268522980004
1999-01-01,1.160047790226
1999-04-01,1.073288257806
1999-07-01,1.055521001376
1999-10-01,1.039098233226
2000-01-01,1.040559550848
2000-04-01,1.052732921625
2000-07-01,1.041443375544
2000-10-01,1.053621299808
2001-01-01,1.0705784246080001
2001-04-01,1.052802121644
2001-07-01,1.0106280526999998
2001-10-01,1.0410426118399998
2002-01-01,1.054121311152
2002-04-01,1.034148129012
2002-07-01,1.0121389059199999
2002-10-01,1.042787642958
2003-01-01,1.0516184575999998
2003-04-01,1.0264278528
2003-07-01,1.0063809910260002
2003-10-01,1.0309126560000001
2004-01-01,1.035280049375
2004-04-01,1.025308771428
2004-07-01,1.017796426152
2004-10-01,1.0342844825560003
2005-01-01,1.052742478284
2005-04-01,1.02581305344
2005-07-01,1.0057015438999999
2005-10-01,1.0212468137400001
2006-01-01,1.049842067716
2006-04-01,1.01114008704
2006-07-01,1.0095204814569998
2006-10-01,1.0170896693559999
2007-01-01,1.0341521902320001
2007-04-01,1.021650251145
2007-07-01,1.0175837318569998
2007-10-01,1.040528309436
2008-01-01,1.0478017264
2008-04-01,1.03786224949
2008-07-01,1.0167881068800002
2008-10-01,1.024496111157
2009-01-01,1.054222792755
2009-04-01,1.0187151659799998
2009-07-01,1.00599811
2009-10-01,1.0070118899999998
2010-01-01,1.0315994285519998
2010-04-01,1.0118453665499998
2010-07-01,1.01759640632
2010-10-01,1.0240824173999998
2011-01-01,1.0380813061320002
2011-04-01,1.0114416174719998
2011-07-01,0.9971012399040001
2011-10-01,1.0134598487039999
2012-01-01,1.0145690672999998
2012-04-01,1.017290133468
2012-07-01,1.01888551765
2012-10-01,1.0134589244560002
2013-01-01,1.0188065246880003
2013-04-01,1.015982941372
2013-07-01,1.011731664108
2013-10-01,1.0164897127920003
2014-01-01,1.0232733012599997
2014-04-01,1.0243931021999997
2014-07-01,1.0138592864399998
2014-10-01,1.047857909952
2015-01-01,1.07439951187
2015-04-01,1.0100315205900001
2015-07-01,1.0172937096
2015-10-01,1.0227706573500002
2016-01-01,1.0206338982079999
2016-04-01,1.012148704944
2016-07-01,1.007209890918
2016-10-01,1.01275379568
2017-01-01,1.0097245777319999
2017-04-01,1.0131549844810002
2017-07-01,0.99380327567
2017-10-01,1.0084220584799999
2018-01-01,1.008121608879
2018-04-01,1.012551750756
2018-07-01,1.004404750432
2018-10-01,1.0169890469999998
2019-01-01,1.017790982208
2019-04-01,1.006712383944
2019-07-01,0.9979958476799999
2019-10-01,1.0077184131040002
2020-01-01,1.0128534226
2020-04-01,1.0132466593019998
2020-07-01,1.0023964309800002
2020-10-01,1.0198254033990002
2021-01-01,1.0212483049159997
2021-04-01,1.020234296148
2021-07-01,1.01083410162
2021-10-01,1.0291771737920001
2022-01-01,1.099468404663
2022-04-01,1.0132598544800002
2022-07-01,0.9914157401399999
2022-10-01,1.013349611948
2023-01-01,1.016786882968
2023-04-01,1.010637353586
